,tweet_id,favorite_count,retweet_count
2020,671735591348891648,1481,782
2021,671729906628341761,8721,4533
2022,671561002136281088,13148,7498
2023,671550332464455680,940,215
2024,671547767500775424,1384,618
2025,671544874165002241,2035,1085
2026,671542985629241344,1118,588
2027,671538301157904385,949,411
2028,671536543010570240,1207,424
2029,671533943490011136,1042,599
2030,671528761649688577,857,267
2031,671520732782923777,1430,545
2032,671518598289059840,971,303
2033,671511350426865664,1651,755
2034,671504605491109889,7205,3667
2035,671497587707535361,938,462
2036,671488513339211776,1034,487
2037,671486386088865792,594,212
2038,671485057807351808,781,239
2039,671390180817915904,1454,761
2040,671362598324076544,1137,302
2041,671357843010908160,408,151
2042,671355857343524864,489,117
2043,671347597085433856,988,446
2044,671186162933985280,752,222
2045,671182547775299584,1151,358
2046,671166507850801152,894,366
2047,671163268581498880,1702,1148
2048,671159727754231808,385,84
2049,671154572044468225,740,226
2050,671151324042559489,690,160
2051,671147085991960577,691,237
2052,671141549288370177,1200,676
2053,671138694582165504,959,420
2054,671134062904504320,769,200
2055,671122204919246848,3582,2615
2056,671115716440031232,1392,801
2057,671109016219725825,1170,457
2058,670995969505435648,1132,303
2059,670842764863651840,25146,9072
2060,670840546554966016,610,205
2061,670838202509447168,1140,723
2062,670833812859932673,461,128
2063,670832455012716544,750,226
2064,670826280409919488,5696,4219
2065,670823764196741120,796,198
2066,670822709593571328,629,100
2067,670815497391357952,3248,1601
2068,670811965569282048,1157,279
2069,670807719151067136,1180,507
2070,670804601705242624,2020,991
2071,670803562457407488,350,91
2072,670797304698376195,753,246
2073,670792680469889025,853,288
2074,670789397210615808,676,249
2075,670786190031921152,615,209
2076,670783437142401025,836,410
2077,670782429121134593,1607,802
2078,670780561024270336,800,297
2079,670778058496974848,337,74
2080,670764103623966721,1102,438
2081,670755717859713024,456,116
2082,670733412878163972,986,528
2083,670727704916926465,851,375
2084,670717338665226240,1245,512
2085,670704688707301377,783,384
2086,670691627984359425,602,252
2087,670679630144274432,764,297
2088,670676092097810432,259,45
2089,670668383499735048,10988,5239
2090,670474236058800128,1569,793
2091,670468609693655041,360,87
2092,670465786746662913,994,575
2093,670452855871037440,560,215
2094,670449342516494336,1222,695
2095,670444955656130560,6874,2050
2096,670442337873600512,662,204
2097,670435821946826752,1076,540
2098,670434127938719744,1440,671
2099,670433248821026816,333,118
2100,670428280563085312,1416,657
2101,670427002554466305,530,171
2102,670421925039075328,1344,660
2103,670420569653809152,643,329
2104,670417414769758208,583,336
2105,670411370698022913,2083,936
2106,670408998013820928,569,233
2107,670403879788544000,445,163
2108,670385711116361728,576,220
2109,670374371102445568,762,278
2110,670361874861563904,338,69
2111,670338931251150849,439,116
2112,670319130621435904,3949,1278
2113,670303360680108032,436,139
2114,670290420111441920,725,298
2115,670093938074779648,1059,349
2116,670086499208155136,714,262
2117,670079681849372674,2274,1297
2118,670073503555706880,1608,821
2119,670069087419133954,647,252
2120,670061506722140161,783,353
2121,670055038660800512,684,343
2122,670046952931721218,661,181
2123,670040295598354432,771,115
2124,670037189829525505,600,289
2125,670003130994700288,342,96
2126,669993076832759809,333,87
2127,669972011175813120,456,168
2128,669970042633789440,310,63
2129,669942763794931712,522,173
2130,669926384437997569,385,109
2131,669923323644657664,242,59
2132,669753178989142016,834,418
2133,669749430875258880,278,67
2134,669684865554620416,536,91
2135,669683899023405056,398,114
2136,669682095984410625,363,137
2137,669680153564442624,683,300
2138,669661792646373376,823,456
2139,669625907762618368,3621,1879
2140,669603084620980224,967,382
2141,669597912108789760,525,157
2142,669583744538451968,1525,967
2143,669573570759163904,447,147
2144,669571471778410496,1625,1050
2145,669567591774625800,241,59
2146,669564461267722241,397,128
2147,669393256313184256,376,79
2148,669375718304980992,1374,756
2149,669371483794317312,509,187
2150,669367896104181761,474,164
2151,669363888236994561,645,237
2152,669359674819481600,377,128
2153,669354382627049472,2779,1318
2154,669353438988365824,663,266
2155,669351434509529089,452,195
2156,669328503091937280,1033,432
2157,669327207240699904,588,120
2158,669324657376567296,508,214
2159,669216679721873412,1215,416
2160,669214165781868544,452,178
2161,669203728096960512,1030,497
2162,669037058363662336,678,324
2163,669015743032369152,756,385
2164,669006782128353280,592,260
2165,669000397445533696,21364,6601
2166,668994913074286592,452,242
2167,668992363537309700,765,359
2168,668989615043424256,698,339
2169,668988183816871936,923,490
2170,668986018524233728,566,173
2171,668981893510119424,553,319
2172,668979806671884288,811,362
2173,668975677807423489,1338,604
2174,668967877119254528,151,25
2175,668960084974809088,724,248
2176,668955713004314625,286,74
2177,668932921458302977,274,59
2178,668902994700836864,326,105
2179,668892474547511297,408,156
2180,668872652652679168,541,310
2181,668852170888998912,464,173
2182,668826086256599040,447,144
2183,668815180734689280,586,282
2184,668779399630725120,721,382
2185,668655139528511488,543,226
2186,668645506898350081,915,560
2187,668643542311546881,902,549
2188,668641109086707712,1099,558
2189,668636665813057536,1069,505
2190,668633411083464705,2887,1712
2191,668631377374486528,738,327
2192,668627278264475648,326,118
2193,668625577880875008,398,140
2194,668623201287675904,1481,803
2195,668620235289837568,209,45
2196,668614819948453888,623,325
2197,668587383441514497,1701,1118
2198,668567822092664832,252,59
2199,668544745690562560,533,237
2200,668542336805281792,473,223
2201,668537837512433665,256,78
2202,668528771708952576,474,233
2203,668507509523615744,335,111
2204,668496999348633600,421,136
2205,668484198282485761,436,242
2206,668480044826800133,472,153
2207,668466899341221888,902,532
2208,668297328638447616,634,307
2209,668291999406125056,253,32
2210,668286279830867968,519,142
2211,668274247790391296,845,237
2212,668268907921326080,565,244
2213,668256321989451776,1336,639
2214,668248472370458624,1015,502
2215,668237644992782336,6357,2947
2216,668226093875376128,306,107
2217,668221241640230912,521,204
2218,668204964695683073,564,200
2219,668190681446379520,666,200
2220,668171859951755264,503,202
2221,668154635664932864,508,326
2222,668142349051129856,577,296
2223,668113020489474048,676,252
2224,667937095915278337,1296,818
2225,667924896115245057,307,114
2226,667915453470232577,214,58
2227,667911425562669056,498,313
2228,667902449697558528,864,385
2229,667886921285246976,1926,1124
2230,667885044254572545,838,505
2231,667878741721415682,400,122
2232,667873844930215936,641,418
2233,667866724293877760,3055,1062
2234,667861340749471744,246,79
2235,667832474953625600,293,63
2236,667806454573760512,1075,512
2237,667801013445750784,335,97
2238,667793409583771648,713,336
2239,667782464991965184,420,250
2240,667773195014021121,240,58
2241,667766675769573376,449,224
2242,667728196545200128,382,152
2243,667724302356258817,493,327
2244,667550904950915073,0,35
2245,667550882905632768,0,33
2246,667549055577362432,5891,2340
2247,667546741521195010,338,128
2248,667544320556335104,881,538
2249,667538891197542400,209,67
2250,667534815156183040,832,553
2251,667530908589760512,478,246
2252,667524857454854144,1728,1140
2253,667517642048163840,374,196
2254,667509364010450944,6879,2180
2255,667502640335572993,539,223
2256,667495797102141441,531,280
2257,667491009379606528,540,232
2258,667470559035432960,259,100
2259,667455448082227200,194,60
2260,667453023279554560,319,91
2261,667443425659232256,797,594
2262,667437278097252352,452,244
2263,667435689202614272,308,85
2264,667405339315146752,473,222
2265,667393430834667520,198,58
2266,667369227918143488,373,167
2267,667211855547486208,499,245
2268,667200525029539841,622,265
2269,667192066997374976,391,109
2270,667188689915760640,755,425
2271,667182792070062081,14511,6334
2272,667177989038297088,193,55
2273,667176164155375616,616,469
2274,667174963120574464,248,84
2275,667171260800061440,224,91
2276,667165590075940865,2723,1166
2277,667160273090932737,261,62
2278,667152164079423490,48358,17448
2279,667138269671505920,4670,2254
2280,667119796878725120,332,128
2281,667090893657276420,339,129
2282,667073648344346624,408,125
2283,667070482143944705,84,14
2284,667065535570550784,168,48
2285,667062181243039745,220,55
2286,667044094246576128,186,51
2287,667012601033924608,453,226
2288,666996132027977728,247,96
2289,666983947667116034,2575,996
2290,666837028449972224,828,560
